"source","start","end","minfrac","interpolated","n_countries","component","n_obs","delta_pp","t","significant","best_year","paris_pctile","rio_pctile"
"World aggregate",1965,2021,NA,NA,NA,"C/GDP",57,-0.671,-1.66,FALSE,1972,NA,11.9
"World aggregate",1965,2021,NA,NA,NA,"C/E",57,0.023,0.08,FALSE,1992,NA,100
"World aggregate",1965,2021,NA,NA,NA,"E/GDP",57,-0.694,-2.32,TRUE,1974,NA,52.4
"World aggregate",1965,2022,NA,NA,NA,"C/GDP",58,-0.69,-1.96,TRUE,1972,NA,34.9
"World aggregate",1965,2022,NA,NA,NA,"C/E",58,-0.052,-0.2,FALSE,1988,NA,88.4
"World aggregate",1965,2022,NA,NA,NA,"E/GDP",58,-0.638,-2.45,TRUE,1974,NA,53.5
"World aggregate",1965,2023,NA,NA,NA,"C/GDP",59,-0.682,-2.19,TRUE,1972,79.5,34.1
"World aggregate",1965,2023,NA,NA,NA,"C/E",59,-0.107,-0.47,FALSE,1988,11.4,86.4
"World aggregate",1965,2023,NA,NA,NA,"E/GDP",59,-0.575,-2.46,TRUE,1974,47.7,54.5
"World aggregate",1970,2021,NA,NA,NA,"C/GDP",52,-0.305,-0.7,FALSE,1995,NA,84.6
"World aggregate",1970,2021,NA,NA,NA,"C/E",52,-0.046,-0.15,FALSE,1985,NA,74.4
"World aggregate",1970,2021,NA,NA,NA,"E/GDP",52,-0.259,-1.31,FALSE,1976,NA,51.3
"World aggregate",1970,2022,NA,NA,NA,"C/GDP",53,-0.367,-0.97,FALSE,1994,27.5,87.5
"World aggregate",1970,2022,NA,NA,NA,"C/E",53,-0.114,-0.42,FALSE,1984,10,72.5
"World aggregate",1970,2022,NA,NA,NA,"E/GDP",53,-0.253,-1.49,FALSE,1976,62.5,47.5
"World aggregate",1970,2023,NA,NA,NA,"C/GDP",54,-0.392,-1.18,FALSE,1994,33.3,87.2
"World aggregate",1970,2023,NA,NA,NA,"C/E",54,-0.163,-0.69,FALSE,1984,15.4,69.2
"World aggregate",1970,2023,NA,NA,NA,"E/GDP",54,-0.228,-1.52,FALSE,1977,64.1,48.7
"World aggregate",1980,2021,NA,NA,NA,"C/GDP",42,-0.657,-1.6,FALSE,1995,45.2,77.4
"World aggregate",1980,2021,NA,NA,NA,"C/E",42,-0.51,-2.23,TRUE,1985,54.8,83.9
"World aggregate",1980,2021,NA,NA,NA,"E/GDP",42,-0.147,-0.71,FALSE,2000,61.3,25.8
"World aggregate",1980,2022,NA,NA,NA,"C/GDP",43,-0.68,-1.93,FALSE,2016,96.9,71.9
"World aggregate",1980,2022,NA,NA,NA,"C/E",43,-0.526,-2.66,TRUE,1985,68.8,78.1
"World aggregate",1980,2022,NA,NA,NA,"E/GDP",43,-0.154,-0.87,FALSE,2000,75,18.8
"World aggregate",1980,2023,NA,NA,NA,"C/GDP",44,-0.675,-2.18,TRUE,2017,93.9,66.7
"World aggregate",1980,2023,NA,NA,NA,"C/E",44,-0.536,-3.08,TRUE,1985,84.8,63.6
"World aggregate",1980,2023,NA,NA,NA,"E/GDP",44,-0.139,-0.89,FALSE,2000,81.8,18.2
"World aggregate",1990,2021,NA,NA,NA,"C/GDP",32,-1.146,-2.95,TRUE,2015,100,NA
"World aggregate",1990,2021,NA,NA,NA,"C/E",32,-0.887,-5.11,TRUE,2015,100,NA
"World aggregate",1990,2021,NA,NA,NA,"E/GDP",32,-0.26,-1.16,FALSE,1998,48,NA
"World aggregate",1990,2022,NA,NA,NA,"C/GDP",33,-1.117,-3.29,TRUE,2015,100,NA
"World aggregate",1990,2022,NA,NA,NA,"C/E",33,-0.861,-5.64,TRUE,2015,100,NA
"World aggregate",1990,2022,NA,NA,NA,"E/GDP",33,-0.256,-1.32,FALSE,1997,57.7,NA
"World aggregate",1990,2023,NA,NA,NA,"C/GDP",34,-1.069,-3.51,TRUE,2015,100,NA
"World aggregate",1990,2023,NA,NA,NA,"C/E",34,-0.839,-6.13,TRUE,2015,100,NA
"World aggregate",1990,2023,NA,NA,NA,"E/GDP",34,-0.23,-1.32,FALSE,1997,60,NA
"Country panel",1980,2020,0.8,TRUE,149,"C/GDP",41,-0.97,-4.36,TRUE,2013,NA,66.7
"Country panel",1980,2020,0.8,TRUE,149,"C/E",41,-0.364,-1.27,FALSE,1986,NA,83.3
"Country panel",1980,2020,0.8,TRUE,149,"E/GDP",41,-0.606,-2.33,TRUE,1992,NA,100
"Country panel",1980,2020,0.8,FALSE,137,"C/GDP",41,-1.838,-6.81,TRUE,2011,NA,26.7
"Country panel",1980,2020,0.8,FALSE,137,"C/E",41,-0.638,-2.74,TRUE,1985,NA,70
"Country panel",1980,2020,0.8,FALSE,137,"E/GDP",41,-1.2,-4.06,TRUE,2006,NA,53.3
"Country panel",1980,2020,0.9,TRUE,138,"C/GDP",41,-1.831,-6.78,TRUE,2011,NA,33.3
"Country panel",1980,2020,0.9,TRUE,138,"C/E",41,-0.617,-2.57,TRUE,1985,NA,73.3
"Country panel",1980,2020,0.9,TRUE,138,"E/GDP",41,-1.214,-3.98,TRUE,2006,NA,63.3
"Country panel",1980,2020,0.9,FALSE,137,"C/GDP",41,-1.838,-6.81,TRUE,2011,NA,26.7
"Country panel",1980,2020,0.9,FALSE,137,"C/E",41,-0.638,-2.74,TRUE,1985,NA,70
"Country panel",1980,2020,0.9,FALSE,137,"E/GDP",41,-1.2,-4.06,TRUE,2006,NA,53.3
"Country panel",1980,2020,0.95,TRUE,138,"C/GDP",41,-1.831,-6.78,TRUE,2011,NA,33.3
"Country panel",1980,2020,0.95,TRUE,138,"C/E",41,-0.617,-2.57,TRUE,1985,NA,73.3
"Country panel",1980,2020,0.95,TRUE,138,"E/GDP",41,-1.214,-3.98,TRUE,2006,NA,63.3
"Country panel",1980,2020,0.95,FALSE,137,"C/GDP",41,-1.838,-6.81,TRUE,2011,NA,26.7
"Country panel",1980,2020,0.95,FALSE,137,"C/E",41,-0.638,-2.74,TRUE,1985,NA,70
"Country panel",1980,2020,0.95,FALSE,137,"E/GDP",41,-1.2,-4.06,TRUE,2006,NA,53.3
"Country panel",1980,2020,1,TRUE,137,"C/GDP",41,-1.838,-6.81,TRUE,2011,NA,26.7
"Country panel",1980,2020,1,TRUE,137,"C/E",41,-0.638,-2.74,TRUE,1985,NA,70
"Country panel",1980,2020,1,TRUE,137,"E/GDP",41,-1.2,-4.06,TRUE,2006,NA,53.3
"Country panel",1980,2020,1,FALSE,137,"C/GDP",41,-1.838,-6.81,TRUE,2011,NA,26.7
"Country panel",1980,2020,1,FALSE,137,"C/E",41,-0.638,-2.74,TRUE,1985,NA,70
"Country panel",1980,2020,1,FALSE,137,"E/GDP",41,-1.2,-4.06,TRUE,2006,NA,53.3
"Country panel",1980,2021,0.8,TRUE,149,"C/GDP",42,-0.726,-3.37,TRUE,2011,83.9,61.3
"Country panel",1980,2021,0.8,TRUE,149,"C/E",42,-0.309,-1.25,FALSE,1986,32.3,80.6
"Country panel",1980,2021,0.8,TRUE,149,"E/GDP",42,-0.418,-1.8,FALSE,1992,3.2,100
"Country panel",1980,2021,0.8,FALSE,137,"C/GDP",42,-1.499,-5.61,TRUE,2011,74.2,25.8
"Country panel",1980,2021,0.8,FALSE,137,"C/E",42,-0.539,-2.64,TRUE,1985,83.9,64.5
"Country panel",1980,2021,0.8,FALSE,137,"E/GDP",42,-0.961,-3.63,TRUE,2006,12.9,58.1
"Country panel",1980,2021,0.9,TRUE,138,"C/GDP",42,-1.492,-5.59,TRUE,2011,74.2,25.8
"Country panel",1980,2021,0.9,TRUE,138,"C/E",42,-0.522,-2.48,TRUE,1985,80.6,71
"Country panel",1980,2021,0.9,TRUE,138,"E/GDP",42,-0.97,-3.56,TRUE,1995,12.9,71
"Country panel",1980,2021,0.9,FALSE,137,"C/GDP",42,-1.499,-5.61,TRUE,2011,74.2,25.8
"Country panel",1980,2021,0.9,FALSE,137,"C/E",42,-0.539,-2.64,TRUE,1985,83.9,64.5
"Country panel",1980,2021,0.9,FALSE,137,"E/GDP",42,-0.961,-3.63,TRUE,2006,12.9,58.1
"Country panel",1980,2021,0.95,TRUE,138,"C/GDP",42,-1.492,-5.59,TRUE,2011,74.2,25.8
"Country panel",1980,2021,0.95,TRUE,138,"C/E",42,-0.522,-2.48,TRUE,1985,80.6,71
